Format Version,1.23,Take Name,Take 2021-08-31 03.44.49 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-08-31 03.44.50.269 PM,Capture Start Frame,326350,Total Frames in Take,1992,Total Exported Frames,1992,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004
,ID,"B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
0,0.000000,32.855709,-4.515662,0.472925,-0.048330,0.068457,-1.107506
1,0.008333,32.857170,-4.499296,0.495153,-0.048337,0.068468,-1.107517
2,0.016667,32.852310,-4.515587,0.514987,-0.048336,0.068459,-1.107517
3,0.025000,32.793472,-4.226033,0.673232,-0.048375,0.068315,-1.107446
4,0.033333,32.787056,-4.240477,0.664539,-0.048367,0.068333,-1.107435
5,0.041667,32.730019,-3.983964,0.521140,-0.048278,0.068456,-1.107454
6,0.050000,32.787788,-4.229668,0.339032,-0.048227,0.068592,-1.107507
7,0.058333,32.838356,-4.499790,0.500901,-0.048306,0.068493,-1.107490
8,0.066667,32.860382,-4.520478,0.475774,-0.048311,0.068487,-1.107503
9,0.075000,32.785759,-4.225913,0.357552,-0.048213,0.068606,-1.107521
10,0.083333,32.851231,-4.492800,0.489308,-0.048322,0.068490,-1.107511
11,0.091667,32.803555,-4.246083,0.348270,-0.048217,0.068626,-1.107517
12,0.100000,32.817600,-4.238096,0.329311,-0.048193,0.068629,-1.107539
13,0.108333,32.797615,-4.234190,0.346661,-0.048194,0.068634,-1.107519
14,0.116667,32.805752,-4.258091,0.338667,-0.048202,0.068629,-1.107516
15,0.125000,32.794456,-4.238978,0.651049,-0.048367,0.068377,-1.107446
16,0.133333,32.787064,-4.256371,0.361726,-0.048251,0.068630,-1.107525
17,0.141667,32.875488,-4.496786,0.494349,-0.048325,0.068518,-1.107503
