Format Version,1.23,Take Name,Take 2021-08-31 03.24.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-08-31 03.24.56.238 PM,Capture Start Frame,183068,Total Frames in Take,2318,Total Exported Frames,2318,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004
,ID,"B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695","B31CDDCA0AA911EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
0,0.000000,-65.304085,-2.005563,-0.803204,0.098671,0.065863,0.071219
1,0.008333,-65.269615,-2.014649,-0.760006,0.098669,0.065873,0.071228
2,0.016667,-64.209137,-2.186003,0.023473,0.099803,0.066180,0.071084
3,0.025000,-64.188126,-2.205112,-0.001348,0.099793,0.066201,0.071072
4,0.033333,-65.283432,-2.049272,-0.822875,0.098688,0.065866,0.071236
5,0.041667,-65.291161,-1.990322,-0.748806,0.098688,0.065877,0.071239
6,0.050000,-65.317276,-2.020545,-0.765439,0.098690,0.065893,0.071248
7,0.058333,-65.288803,-2.028645,-0.816242,0.098674,0.065862,0.071237
8,0.066667,-65.316643,-2.045953,-0.798409,0.098678,0.065876,0.071210
9,0.075000,-64.198120,-2.219794,0.037362,0.099791,0.066200,0.071086
10,0.083333,-65.309875,-1.996265,-0.759594,0.098673,0.065857,0.071223
11,0.091667,-65.284653,-2.000175,-0.777667,0.098648,0.065884,0.071211
12,0.100000,-64.203682,-2.196113,0.014959,0.099768,0.066192,0.071065
13,0.108333,-64.202065,-2.147050,0.017040,0.099779,0.066219,0.071058
14,0.116667,-64.179497,-2.211729,-0.033067,0.099833,0.066211,0.071065
15,0.125000,-65.278259,-2.041533,-0.755783,0.098689,0.065906,0.071259
16,0.133333,-65.288902,-1.994954,-0.785806,0.098693,0.065911,0.071211
17,0.141667,-64.213661,-2.234590,0.023924,0.099821,0.066219,0.071072
